,date,power,temp
199,2017-04-20,51514,29.0
200,2017-04-21,52044,28.3
201,2017-04-22,52044,22.7
202,2017-04-23,37856,21.6
203,2017-04-24,43483,23.1
204,2017-04-25,45464,25.2
205,2017-04-26,47417,26.9
206,2017-04-27,45288,24.4
207,2017-04-28,44360,23.9
208,2017-04-29,40581,24.9
209,2017-04-30,33801,25.0
210,2017-05-01,33725,27.7
211,2017-05-02,41857,28.4
212,2017-05-03,50730,29.0
213,2017-05-04,53643,29.7
214,2017-05-05,51819,27.8
215,2017-05-06,49551,26.9
216,2017-05-07,46172,28.1
217,2017-05-08,51933,28.6
218,2017-05-09,53701,28.8
219,2017-05-10,54338,28.3
220,2017-05-11,54837,28.7
221,2017-05-12,49956,25.8
222,2017-05-13,47323,27.5
223,2017-05-14,45592,28.4
224,2017-05-15,52600,27.7
225,2017-05-16,52549,28.7
226,2017-05-17,50844,26.2
227,2017-05-18,46022,22.8
228,2017-05-19,43503,21.7
229,2017-05-20,42290,25.8
230,2017-05-21,43792,26.6
231,2017-05-22,52697,29.1
232,2017-05-23,58029,30.1
233,2017-05-24,56580,27.6
234,2017-05-25,49621,26.6
235,2017-05-26,49114,28.1
236,2017-05-27,48617,27.6
237,2017-05-28,45181,27.8
238,2017-05-29,49136,28.6
239,2017-05-30,49236,29.1
240,2017-05-31,59665,30.0
241,2017-06-01,62944,32.5
242,2017-06-02,71643,34.6
243,2017-06-03,71082,36.1
244,2017-06-04,71527,36.2
245,2017-06-05,77075,35.0
246,2017-06-06,69125,31.0
247,2017-06-07,52427,26.2
248,2017-06-08,55990,28.7
249,2017-06-09,56166,29.1
250,2017-06-10,53039,29.7
251,2017-06-11,51112,30.1
252,2017-06-12,58484,30.7
253,2017-06-13,56979,29.5
254,2017-06-14,54581,28.3
255,2017-06-15,58655,30.7
256,2017-06-16,60677,31.6
257,2017-06-17,50771,27.7
258,2017-06-18,45740,27.7
259,2017-06-19,52013,28.6
260,2017-06-20,52740,28.6
261,2017-06-21,56316,30.1
262,2017-06-22,59760,30.8
263,2017-06-23,59757,30.6
264,2017-06-24,57122,31.2
265,2017-06-25,51838,28.5
266,2017-06-26,56229,29.5
267,2017-06-27,57756,30.1
268,2017-06-28,56888,29.1
269,2017-06-29,56367,28.5
270,2017-06-30,50033,28.9
271,2017-07-01,52843,30.4
272,2017-07-02,51245,30.4
273,2017-07-03,56970,29.6
274,2017-07-04,57172,29.7
275,2017-07-05,56075,29.3
276,2017-07-06,57539,29.6
277,2017-07-07,56800,28.9
278,2017-07-08,50889,27.1
279,2017-07-09,48675,29.3
280,2017-07-10,54978,29.3
281,2017-07-11,52958,27.6
282,2017-07-12,52310,27.5
283,2017-07-13,52878,27.9
284,2017-07-14,54188,28.6
285,2017-07-15,50930,27.6
286,2017-07-16,47392,28.4
287,2017-07-17,48861,26.7
288,2017-07-18,50284,27.1
289,2017-07-19,50568,27.0
290,2017-07-20,50651,27.0
291,2017-07-21,50205,27.2
292,2017-07-22,48655,29.0
293,2017-07-23,48161,29.3
294,2017-07-24,56248,30.0
295,2017-07-25,48349,28.5
296,2017-07-26,55519,29.2
297,2017-07-27,58268,30.3
298,2017-07-28,59931,30.8
299,2017-07-29,59061,30.9
300,2017-07-30,60818,32.2
301,2017-07-31,67898,33.4
302,2017-08-01,59716,28.3
303,2017-08-02,59406,30.3
304,2017-08-03,54104,27.9
305,2017-08-04,52303,28.2
306,2017-08-05,49426,27.8
307,2017-08-06,49857,29.4
308,2017-08-07,57197,30.0
309,2017-08-08,63371,31.9
310,2017-08-09,66711,32.6
311,2017-08-10,64500,30.9
312,2017-08-11,65665,32.1
313,2017-08-12,61877,31.3
314,2017-08-13,58442,30.9
315,2017-08-14,63801,31.3
316,2017-08-15,54245,26.3
317,2017-08-16,52039,26.7
318,2017-08-17,50230,26.1
319,2017-08-18,51585,26.6
320,2017-08-19,51165,28.0
321,2017-08-20,50480,29.4
322,2017-08-21,56586,30.3
323,2017-08-22,66562,31.1
324,2017-08-24,58093,27.0
325,2017-08-25,58060,28.4
